corG-1	0	cor	accountingEntries	_	Accounting Entries	Root for XBRL GL. No entry made here.	【会計仕訳】	XBRL GLのルート要素。 この要素にはデータは登録されない。
corG-2	1	cor	documentInfo	_	Document Information	Parent for descriptive information about the accountingEntries section in which it is contained.	【文書情報】	この会計仕訳に関する情報の親タグ。
cor-1	2	cor	entriesType	gl-gen:entriesTypeItemType	Document Type	account: information to fill in a chart of accounts file. \nbalance: the results of accumulation of a complete and validated list of entries for an account (or a list of account) in a specific period - sometimes called general ledger \nentries:  a list of individual accounting entries, which might be posted/validated or nonposted/validated  \njournal: a self-balancing (Dr = Cr) list of entries for a specific period including beginning balance for that period.  \nledger: a complete list of entries for a specific account (or list of accounts) for a specific period; note - debits do not have to equal credits.   \nassets: a listing of open receivables, payables, inventory, fixed assets or other information that can be extracted from but are not necessarily included as part of a journal entry.  \ntrialBalance: the self-balancing (Dr = Cr) result of accumulation of a complete and validated list of entries for the entity in a complete list of accounts in a specific period. \ntaxtables:  aids automated interpretation of instances that represent tax tables; Tax table are defined by using multiple [taxes] structures to gather the population of codes, authorities and rates; through [taxTableCode] cross-references in the [taxes] structure, these "master file" tax tables can be referenced. \nOften sorted by date or by account, these terms have specific, and sometimes different, meanings in different areas. Common practice will drive accounting method/term matches.	文書種別	・科目:科目体系ファイルの情報。\n・残高:特定の期間について、勘定科目(または勘定科目リスト)の、完了し検証された仕訳リストの累算結果。時に総勘定元帳と呼ばれる。\n・仕訳:個々の勘定記入のリスト。転記/検証されていることもあり、されていないこともある。\n・仕訳帳:特定の期間における、その期間の開始残高を含む貸借が一致(Dr=Cr)した仕訳のリスト 。\n・元帳:特定の期間における特定の勘定科目(または勘定科目リスト)についての、仕訳の全リスト 。注意－貸借が一致する必要はない。\n・資産:仕訳記入の一部として必ずしも含まれていないが、そこから抽出可能な売掛金、買掛金、在庫、固定資産、その他の情報のリスト。\n・試算表:事業体に対する、特定期間の全勘定科目リストでの、完了し検証された仕訳リストの、貸借が一致（Dr=Cr)した累算結果。\n・税率表:税率表をあらわすデータを自動的に解釈できるようにする。税率表は、コード、税務当局情報、レートをあらわす複数のtaxes構造データを使って定義される。taxTableCodeはtaxes構造データ内で相互に参照されるが、これらのマスタファイルが参照可能。\n多くの場合、日付または科目によりソートされる。会計処理方法や用語は慣行により適合させる。\n[設定値のリスト]\n(account：科目)、(balance：残高)、(entries：仕訳)、(journal：仕訳帳)、(ledger：元帳)、(assets：資産)、(trialbalance：試算表)、(taxtables：税率表)、(other：その他)
cor-2	2	cor	uniqueID	uniqueIDItemType	Audit Number	Unique identifier for this file.	監査番号	このファイルの一意識別子。
cor-3	2	cor	revisesUniqueID	revisesUniqueIDItemType	Revises Audit Number\n	If this batch of information revises a previous batch of information, this field identifies the previous batch that is being revised. 'uniqueID' of the previous batch goes here. Developers should consider exception reporting.	改訂前監査番号	この仕訳の束が以前の仕訳の束を改訂する場合に、以前の束を示す。元の文書のuniqueIDが指定される。開発者は、例外報告を考慮すべきである。
cor-4	2	cor	revisesUniqueIDAction	gl-gen:revisesUniqueIDActionItemType	Action to Take with Previous Data	Provides guidance on action to take with previous set of data: supersedes - old data should be considered as obsolete/overwritten; supplements - belongs with that data as if it was included with it.	改訂前データ処置	以前のデータの束に対する操作のガイダンス。 取替え-古いデータを無効にし上書きする。\n補完-元々含まれていたかのように、そのデータに所属させる。\n[設定値のリスト]\n(supplement：補完)、(supersede：取替え)
cor-5	2	cor	language	languageItemType	Language	Primary language of the intellectual content. Where practical, the content of this field should coincide with ISO 639-1988 language codes.	言語	主要言語。 実用的には、このフィールドの内容はISO639-1988言語コードに一致すべきである。
cor-6	2	cor	creationDate	creationDateItemType	Creation Date	Date/time file was created.	作成日付	ファイルが作成された日付/時間。
bus-1	2	bus	creator	creatorItemType	Creator	Identifies the creator of the XBRL instance.	作成者	ファイルの作成者の識別子。
cor-7	2	cor	entriesComment	entriesCommentItemType	Document Comment	Text for entire document.	文書コメント	文書全体に対する説明文。
cor-8	2	cor	periodCoveredStart	periodCoveredStartItemType	Period Covered Start	Start of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.	対象期間開始日付	内容の日付範囲の開始日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。
cor-9	2	cor	periodCoveredEnd	periodCoveredEndItemType	Period Covered End	End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.	対象期間終了日付	内容の日付範囲の終了日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。
bus-2	2	bus	periodCount	periodCountItemType	Period Count	Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period.	期間数	postingCodeで使用される期間又はバケットの数。 転記日付を説明するために使用される。対象期間の仕訳を個々の報告期間に限定することが望ましいかもしれない。
bus-3	2	bus	periodUnit	periodUnitTypeItemType	Period Unit	Type of periods covered by periodCount	期間単位	periodCountで対象とする期間の種別。\n[設定値のリスト]\n(daily：日次)、(weekly：週次)、(bi-weekly：隔週)、(semi-monthly：半月ごと)、(monthly：月次)、(quarterly：四半期ごと)、(thirdly：年3回)、(semiannual：半年ごと)、(annual：年次)、(ad-hoc：随時)、(current-period-only：当期)、(other：その他) \n
bus-4	2	bus	periodUnitDescription	periodUnitDescriptionItemType	Period Unit Description	Free format description of the period unit	期間単位説明	対象期間単位の説明。
bus-5	2	bus	sourceApplication	sourceApplicationItemType	Source Application	Product or service that produced this file. Used by many systems (e.g., VAT). Version number can be included or extended.	作成元アプリケーション	このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。
bus-6	2	bus	targetApplication	targetApplicationItemType	Target Application	Particular use for which file was generated.	対象アプリケーション	ファイルが作成された用途。
muc-1	2	muc	defaultCurrency	currencyItemType	Default Currency	The default currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding	既定通貨	XBRLインスタンス内に指定する方法のかわりに、金額の既定の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。
srcdG-1	2	srcd	summaryReportingTaxonomies	_	Summary Reporting Taxonomies	Identifies and provides information about one or more target reporting taxonomies to which the data represented in the document rolls up to.	【集約報告タクソノミ】	この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。
srcd-1	3	srcd	summaryReportingTaxonomyID	summaryReportingTaxonomyIDItemType	Summary Reporting Taxonomy ID	Identifies a target reporting taxonomy so that, for example, it can be referenced in the [summaryReportingTaxonomyIDRef] data field at [xbrlInfo] level.	集約報告タクソノミ識別子	たとえばxbrlInfo内のsummaryReportingTaxonomyIDRefで参照できるように、報告タクソノミを識別する。
srcd-2	3	srcd	summaryReportingTaxonomySchemaRefHref	summaryReportingTaxonomySchemaRefHrefItemType	Summary Reporting Taxonomy Schema Reference Href Attribute	Value of the href attribute of schemaRef in the target reporting taxonomy.	集約報告タクソノミスキーマ参照情報	報告タクソノミ内の、schemaRef要素のhref属性の値。
srcd-3	3	srcd	summaryReportingTaxonomyHeader	summaryReportingTaxonomyHeaderItemType	Summary Reporting Taxonomy Header	An all-purpose data field where all the information necessary when it is too complex to be defined otherwise.	集約報告タクソノミヘッダ	必要なすべての情報が、複雑すぎて他の方法では定義できないときに、それらを記述する汎用的なデータ域。
srcd-4	3	srcd	summaryReportingTaxonomyDescription	summaryReportingTaxonomyDescriptionItemType	Summary Reporting Taxonomy Description	A description of the taxonomy for human use.	集約報告タクソノミ説明	人が利用するための、タクソノミの説明文。
corG-3	1	cor	entityInformation	_	Entity Information section	Holder for entity information - information about the reporting organization.	【事業体情報】	事業体情報（報告組織に関する情報）の入れ物。
busG-1	2	bus	entityPhoneNumber	_	Entity Phone Number	Primary phone number of the entity.	【事業体電話番号】	事業体の主要電話番号情報。
bus-7	3	bus	phoneNumberDescription	gl-gen:phoneNumberDescriptionItemType	Entity Phone Number Description	Entity Phone Number Description such as Main, Investor relations.	事業体電話番号説明	代表、IR用などの、事業体の電話番号の説明。\n[設定値のリスト]\n(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他) 
bus-8	3	bus	phoneNumber	gl-gen:phoneNumberItemType	Entity Phone Number	Phone number referred to in 'phoneNumberDescription'	事業体電話番号	phoneNumberDescriptionで示される電話番号。
busG-2	2	bus	entityFaxNumberStructure	_	Entity Fax Number Structure	Tuple for holding company fax information.	【事業体FAX番号】	事業体のFAX番号情報のタプル。
bus-9	3	bus	entityFaxNumberUsage	gl-gen:faxNumberUsageItemType	Entity Fax Number Usage	Company fax number usage (e.g. orders, head office, IR)	事業体FAX番号用途	事業体のFAX番号の用途。(注文、本社、IRなど)\n
bus-10	3	bus	entityFaxNumber	gl-gen:faxNumberItemType	Entity Fax Number	Company Fax Number	事業体FAX番号	事業体のFAX番号。
busG-3	2	bus	entityEmailAddressStructure	_	Entity Email Address Structure	Tuple for holding company email information.	【事業体Eメールアドレス】	事業体のEメールアドレス情報のタプル。
bus-11	3	bus	entityEmailAddressUsage	gl-gen:emailAddressUsageItemType	Entity Email Address Usage	Company email address usage (e.g. orders, head office, IR)	事業体Eメールアドレス用途	事業体のEメールアドレスの用途。(注文、本社、IRなど)\n
bus-12	3	bus	entityEmailAddress	gl-gen:emailAddressItemType	Entity Email Address	Company Email Address	事業体Eメールアドレス	事業体のEメールアドレス。
bus-13	2	bus	organizationAccountingMethodPurposeDefault	accountingMethodPurposeItemType	Default Accounting Method Purpose	If not stated explicitly at the line level, the default reporting purpose - from book, tax, management, statutory, other	既定会計処理方法目的	明細レベルで明確に指定しない場合の、既定の報告目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。\n[設定値のリスト]\n(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)
bus-14	2	bus	organizationAccountingMethodPurposeDefaultDescription	organizationAccountingMethodPurposeDefaultDescriptionItemType	Default Accounting Method Purpose Description	Free format description of the default accounting method purpose	既定会計処理方法目的説明	既定の会計処理方法目的の説明。
busG-4	2	bus	organizationIdentifiers	_	Identifiers	Section which contains various identifiers for the company.	【識別子】	組織に関する様々な識別子を含むセクション。
bus-15	3	bus	organizationIdentifier	organizationIdentifierItemType	Organization Identifier	Code representing the company or organization whose data this file represents: used for situations where one user (e.g., a CPA) needs to keep track of multiple organizations' files (e.g., multiple clients). Can be EIN#, client #, internal/external identifier, SIC code. Codes which identifies the entity. Includes the code identifier of the authority issuing the code, a colon, and the code itself. For example, CIK:01234567 for the CIK number issued by SEC EDGAR.	事業体識別子	このファイルでデータを表現している会社や組織のコード。ひとりのユーザ(例えば、公認会計士)が複数の組織(例えば、複数の顧客)のファイルを把握する必要がある場合に使用される。 EIN番号、顧客番号、内部/外部識別子、SICコードであってよい。事業体の識別子をコード化する。コードを発行する権威ある組織のコード識別子、コロン、およびコードそのものを含む。 例えば、SEC　EDGARが発行したCIK番号　CIK: 01234567。
bus-16	3	bus	organizationDescription	organizationDescriptionItemType	Organization Description	Text for organization identified by organizationIdentifier. Any descriptive information about the code.	事業体説明	organizationIdentifierによって特定された組織の説明文。 コードに関するなんらかの記述情報。
busG-5	2	bus	organizationAddress	_	Address	Address structure for the reporting entity	【住所】	報告事業体の住所構造体。
bus-17	3	bus	organizationAddressName	organizationAddressNameItemType	Address Name	Name of organization used at this address	住所名	この住所で使用される組織の名前。
bus-18	3	bus	organizationAddressDescription	organizationAddressDescriptionItemType	Address Description	Description of the address, such as Mailing, Physical, Investor Relations, etc.	住所説明	住所の説明。郵送先、実体、投資家向けなど。
bus-19	3	bus	organizationAddressPurpose	organizationAddressPurposeItemType	Address Purpose	Freeform for codes like shipping, billing, mailing at address level.  Allows identification of multiple purpose addresses for each identifier.	住所目的	配送、請求、郵送のような、住所レベルのコードの自由記述。個々の識別子により、住所の用途を識別する。
bus-20	3	bus	organizationAddressLocationIdentifier	locationIdentifierItemType	Location Identifier	A code used to identify the location and to associate it with contacts and transactions	所在地識別子	位置を識別したり、窓口や取引と関係付けるコード。
bus-21	3	bus	organizationBuildingNumber	organizationBuildingNumberItemType	Building Number	Building Number	建物番号	建物番号。
bus-22	3	bus	organizationAddressStreet	organizationAddressStreetItemType	Street	Street address	通り	住所の通り。
bus-23	3	bus	organizationAddressStreet2	organizationAddressStreet2ItemType	Address Detail	Address Detail	住所詳細	住所詳細。
bus-24	3	bus	organizationAddressCity	organizationAddressCityItemType	City	City or town of the address.	都市	住所の都市や町。
bus-25	3	bus	organizationAddressStateOrProvince	organizationAddressStateOrProvinceItemType	State or Province	State, province or region of the address.	州	住所の州や地方。
bus-26	3	bus	organizationAddressZipOrPostalCode	organizationAddressZipOrPostalCodeItemType	Zip or Postal Code	Zip or other postal code of the address.	郵便番号	住所の郵便番号。
bus-27	3	bus	organizationAddressCountry	organizationAddressCountryItemType	Country	Country of the address.	国	住所の国。
bus-28	3	bus	organizationAddressActive	gl-gen:activeItemType	Address Active	Boolean to indicate whether the address is active (="true") or inactive (="false")	住所有効性	住所が有効か無効かを示すブール値。
busG-6	2	bus	entityWebSite	_	Entity Web Site	Primary web site of the entity.	【事業体Webサイト】	事業体の代表ウェブサイト。
bus-29	3	bus	webSiteDescription	webSiteDescriptionItemType	Web Site Description	Description of the web site.	Webサイト説明	ウェブサイトの説明。
bus-30	3	bus	webSiteURL	webSiteURLItemType	Web Site URL	Valid URL of the web site. Should be full URL.	WebサイトURL	ウェブサイトの有効なURL。 完全なURLであるべき。
